name,nominated,won,xpos,ypos,,
Nick Adams ,1,0,221.34525,570.93933,,"{'name' : 'Nick Adams ', 'value':1},"
Rex Harrison ,2,1,540.5933,441.7945,,"{'name' : 'Rex Harrison ', 'value':2},"
Richard Harris ,2,0,448.93985,523.0223,,"{'name' : 'Richard Harris ', 'value':2},"
John Gielgud ,2,1,614.938,259.15005,,"{'name' : 'John Gielgud ', 'value':2},"
Lee Tracy ,1,0,478.6961,520.65826,,"{'name' : 'Lee Tracy ', 'value':1},"
Peter Sellers ,2,0,522.2959,406.4499,,"{'name' : 'Peter Sellers ', 'value':2},"
Stanley Holloway ,1,0,251.54417,542.3724,,"{'name' : 'Stanley Holloway ', 'value':1},"
Frank Finlay ,1,0,1097.5798,303.851,,"{'name' : 'Frank Finlay ', 'value':1},"
Ian Bannen ,1,0,459.34213,710.05,,"{'name' : 'Ian Bannen ', 'value':1},"
Lee Marvin ,1,1,1135.2815,671.08307,,"{'name' : 'Lee Marvin ', 'value':1},"
Martin Balsam ,1,1,651.15735,235.59164,,"{'name' : 'Martin Balsam ', 'value':1},"
Michael Dunn ,1,0,9.95,24.099487,,"{'name' : 'Michael Dunn ', 'value':1},"
Oskar Werner ,1,0,764.99243,9.949977,,"{'name' : 'Oskar Werner ', 'value':1},"
Tom Courtenay ,2,0,211.204,610.4343,,"{'name' : 'Tom Courtenay ', 'value':2},"
Alan Arkin ,4,1,1240.2,192.17142,,"{'name' : 'Alan Arkin ', 'value':4},"
George Segal ,1,0,903.86523,565.9659,,"{'name' : 'George Segal ', 'value':1},"
Mako ,1,0,860.31647,188.61131,,"{'name' : 'Mako ', 'value':1},"
Michael Caine ,6,2,492.13477,233.13739,,"{'name' : 'Michael Caine ', 'value':6},"
Paul Scofield ,2,1,228.06712,693.5632,,"{'name' : 'Paul Scofield ', 'value':2},"
Robert Shaw ,1,0,966.1629,533.4049,,"{'name' : 'Robert Shaw ', 'value':1},"
Steve McQueen ,1,0,29.08494,252.78604,,"{'name' : 'Steve McQueen ', 'value':1},"
Walter Matthau ,3,1,579.1765,690.1501,,"{'name' : 'Walter Matthau ', 'value':3},"
Dustin Hoffman ,7,2,989.717,650.35004,,"{'name' : 'Dustin Hoffman ', 'value':7},"
Gene Hackman ,5,2,406.2751,301.01544,,"{'name' : 'Gene Hackman ', 'value':5},"
George Kennedy ,1,1,695.1235,416.74695,,"{'name' : 'George Kennedy ', 'value':1},"
John Cassavetes ,1,0,655.402,379.8223,,"{'name' : 'John Cassavetes ', 'value':1},"
Michael J. Pollard ,1,0,389.58957,10.189779,,"{'name' : 'Michael J. Pollard ', 'value':1},"
Warren Beatty ,4,0,673.74207,91.12079,,"{'name' : 'Warren Beatty ', 'value':4},"
Alan Bates ,1,0,439.289,107.19085,,"{'name' : 'Alan Bates ', 'value':1},"
Cliff Robertson ,1,1,1171.0785,580.08026,,"{'name' : 'Cliff Robertson ', 'value':1},"
Daniel Massey ,1,0,203.14847,710.05,,"{'name' : 'Daniel Massey ', 'value':1},"
Gene Wilder ,1,0,1064.7659,125.742386,,"{'name' : 'Gene Wilder ', 'value':1},"
Jack Albertson ,1,1,496.8113,60.81484,,"{'name' : 'Jack Albertson ', 'value':1},"
Jack Wild ,1,0,621.3028,425.51532,,"{'name' : 'Jack Wild ', 'value':1},"
Ron Moody ,1,0,479.05005,69.789764,,"{'name' : 'Ron Moody ', 'value':1},"
Seymour Cassel ,1,0,633.67755,526.253,,"{'name' : 'Seymour Cassel ', 'value':1},"
Anthony Quayle ,1,0,443.4242,684.3153,,"{'name' : 'Anthony Quayle ', 'value':1},"
Elliott Gould ,1,0,476.14105,640.2164,,"{'name' : 'Elliott Gould ', 'value':1},"
Jack Nicholson ,12,3,759.5486,556.6807,,"{'name' : 'Jack Nicholson ', 'value':12},"
Jon Voight ,4,1,306.2652,540.96716,,"{'name' : 'Jon Voight ', 'value':4},"
Rupert Crosse ,1,0,1050.8024,572.05493,,"{'name' : 'Rupert Crosse ', 'value':1},"
Chief Dan George ,1,0,989.0983,501.13492,,"{'name' : 'Chief Dan George ', 'value':1},"
James Earl Jones ,1,0,715.68207,64.35945,,"{'name' : 'James Earl Jones ', 'value':1},"
John Marley ,1,0,643.9801,363.19592,,"{'name' : 'John Marley ', 'value':1},"
John Mills ,1,1,629.22974,407.26224,,"{'name' : 'John Mills ', 'value':1},"
Richard Castellano ,1,0,469.23544,9.949992,,"{'name' : 'Richard Castellano ', 'value':1},"
Ryan O'Neal ,1,0,1154.0323,258.21146,,"{'name' : 'Ryan O'Neal ', 'value':1},"
Ben Johnson ,1,1,29.084927,232.88605,,"{'name' : 'Ben Johnson ', 'value':1},"
Jeff Bridges ,6,1,996.2794,288.0458,,"{'name' : 'Jeff Bridges ', 'value':6},"
Leonard Frey ,1,0,509.681,25.427256,,"{'name' : 'Leonard Frey ', 'value':1},"
Peter Finch ,2,1,1143.9984,210.2555,,"{'name' : 'Peter Finch ', 'value':2},"
Richard Jaeckel ,1,0,731.4781,52.25589,,"{'name' : 'Richard Jaeckel ', 'value':1},"
Roy Scheider ,2,0,79.60522,198.54712,,"{'name' : 'Roy Scheider ', 'value':2},"
Topol ,1,0,496.25974,511.30252,,"{'name' : 'Topol ', 'value':1},"
Al Pacino ,8,1,1200.4,79.59998,,"{'name' : 'Al Pacino ', 'value':8},"
James Caan ,1,0,97.22385,248.18614,,"{'name' : 'James Caan ', 'value':1},"
Joel Grey ,1,1,635.5513,381.22272,,"{'name' : 'Joel Grey ', 'value':1},"
Paul Winfield ,1,0,940.59686,246.2058,,"{'name' : 'Paul Winfield ', 'value':1},"
Robert Duvall ,7,1,970.22107,154.0951,,"{'name' : 'Robert Duvall ', 'value':7},"
Jack Gilford ,1,0,777.02026,198.10403,,"{'name' : 'Jack Gilford ', 'value':1},"
Jason Miller ,1,0,892.1789,652.3012,,"{'name' : 'Jason Miller ', 'value':1},"
John Houseman ,1,1,676.90076,9.95,,"{'name' : 'John Houseman ', 'value':1},"
Randy Quaid ,1,0,306.9188,435.58054,,"{'name' : 'Randy Quaid ', 'value':1},"
Robert Redford ,1,0,824.8479,224.143,,"{'name' : 'Robert Redford ', 'value':1},"
Vincent Gardenia ,2,0,606.4691,387.94955,,"{'name' : 'Vincent Gardenia ', 'value':2},"
Art Carney ,1,1,1204.8243,227.15189,,"{'name' : 'Art Carney ', 'value':1},"
Fred Astaire ,1,0,1270.05,384.7616,,"{'name' : 'Fred Astaire ', 'value':1},"
