name;nominated;won;xpos;ypos
William Hurt ;4;1;114.95638;253.64818
Bob Hoskins ;1;0;333.36194;624.48517
Denholm Elliott ;1;0;683.6096;429.51746
Dennis Hopper ;1;0;562.9701;273.3581
Dexter Gordon ;1;0;221.0793;103.29508
James Woods ;2;0;583.69446;383.60867
Tom Berenger ;1;0;445.11514;676.91614
Willem Dafoe ;2;0;407.6408;374.24078
Albert Brooks ;1;0;607.4179;366.8848
Denzel Washington ;6;2;502.13135;489.9685
Michael Douglas ;1;1;469.7115;540.0734
Morgan Freeman ;5;1;691.21765;222.2894
Robin Williams ;4;1;189.5538;244.37068
Sean Connery ;1;1;343.5087;616.0708
Dean Stockwell ;1;0;514.74146;532.9986
Edward James Olmos ;1;0;358.3924;42.527786
Kevin Kline ;1;1;163.01982;363.45056
Martin Landau ;3;1;640.68475;391.7096
Max von Sydow ;2;0;188.74194;532.8488
River Phoenix ;1;0;212.88301;391.74136
Tom Hanks ;5;2;444.37518;270.85016
Dan Aykroyd ;1;0;456.918;540.6572
Daniel Day Lewis ;5;3;284.35587;342.35303
Danny Aiello ;1;0;526.35455;251.86987
Kenneth Branagh ;2;0;671.0916;402.32486
Tom Cruise ;3;0;148.56236;499.74127
Andy Garcia ;1;0;173.02724;507.29718
Bruce Davison ;1;0;711.7236;468.9908
Gerard Depardieu ;1;0;80.978134;275.73285
Graham Greene ;1;0;118.40095;221.17487
Jeremy Irons ;1;1;325.09097;334.14584
Kevin Costner ;1;0;226.32608;82.00434
Anthony Hopkins ;4;1;218.8774;427.1621
Harvey Keitel ;1;0;360.83224;663.6476
Michael Lerner ;1;0;575.8994;88.161026
Nick Nolte ;3;0;651.3365;174.5802
Tommy Lee Jones ;4;1;188.95688;479.4362
Clint Eastwood ;2;0;560.72015;410.59024
David Paymer ;1;0;428.87762;589.1136
Jaye Davidson ;1;0;355.4866;620.84143
Robert Downey Jr. ;2;0;277.60455;425.6547
Stephen Rea ;1;0;148.33452;258.65942
Laurence Fishburne ;1;0;315.60446;652.1551
Leonardo DiCaprio ;4;0;617.5121;328.8527
Liam Neeson ;1;0;514.19385;392.64017
Pete Postlethwaite ;1;0;418.82104;241.30014
Ralph Fiennes ;2;0;546.69403;252.48329
Chazz Palminteri ;1;0;560.4382;430.37192
Gary Sinise ;1;0;146.3493;245.02092
Nigel Hawthorne ;1;0;450.6516;311.8759
Samuel L. Jackson ;1;0;275.45438;546.08356
Brad Pitt ;3;0;556.4062;116.071785
Ed Harris ;4;0;460.39572;598.5305
James Cromwell ;1;0;336.68063;271.1349
Kevin Spacey ;2;2;629.4743;588.69415
Massimo Troisi ;1;0;71.06221;314.79993
Nicolas Cage ;2;1;450.16232;498.90588
Sean Penn ;5;2;551.5838;544.19324
Tim Roth ;1;0;410.0551;679.08405
Armin Mueller-Stahl;1;0;690.1619;171.09409
Billy Bob Thornton ;2;0;653.5962;421.0233
Cuba Gooding, Jr. ;1;1;270.5796;598.41925
Edward Norton ;3;0;416.81604;314.00464
Geoffrey Rush ;4;1;381.80283;639.25934
William H. Macy ;1;0;454.3858;99.93599
Woody Harrelson ;2;0;328.06625;667.0938
Burt Reynolds ;1;0;148.08083;148.0963
Greg Kinnear ;1;0;430.22986;235.04529
Matt Damon ;2;0;297.75555;645.0148
Peter Fonda ;1;0;198.63449;275.07202
Robert Forster ;1;0;251.89467;254.17883
Ian McKellen ;2;0;746.1935;386.51978
James Coburn ;1;1;667.3756;153.7317
Roberto Benigni ;1;1;372.20358;669.89795
Haley Joel Osment ;1;0;125.75138;177.4681
Jude Law ;2;0;154.8344;227.63557
Michael Clarke Duncan ;1;0;314.22717;224.16443
Russell Crowe ;3;1;637.7656;253.3056
Benicio Del Toro ;2;1;548.3409;168.29324
Javier Bardem ;3;1;97.13649;323.03583
